name,reg,year,month,nl_count_0,nl_count_4,nl_min_0,nl_min_4,nl_max_0,nl_max_4,nl_mean_0,nl_mean_4,nl_sum_0,nl_sum_4,nl_nodata_0,nl_nodata_4,nl_median_0,nl_median_4,nl_std_0,nl_std_4,tw_count,tw_n_settlements,Labor_index,Unemployment_index,Investment_index,Loan_index,Economy_index,Interest_rate_index,Inflation_index,Bankruptcy_index,Export_index,Mortgage_loan_index,Baggage_index,Holiday_index,BMW_index,Mercedes_index,McDonalds_index,Calvin_Klein_index,Gucci_index,Emigration_index,Washing_machine_index,Fridge_index,Sony_index,apple_index,Fitness_index,Recruitment_index,Travel_index,Savings_index,Computer_security_index,Unemployment_benefits_index,Fashion_index,MBA_degree_index,area_sq_km
Zhytomyrska,UA_18,2010,2,,,,,,,,,,,,,,,,,0,23,24,66,0,0,0,0,75,0,56,0,0,21,67,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,27,0,29838.738
Cherkaska,UA_71,2010,3,,,,,,,,,,,,,,,,,0,57,41,36,100,0,91,0,28,0,48,0,0,19,16,36,0,41,0,0,27,15,72,18,66,0,32,73,0,0,100,0,20939.982
Chernihivska,UA_74,2010,3,,,,,,,,,,,,,,,,,0,45,10,0,0,0,52,0,0,0,0,0,0,12,47,29,0,0,0,0,22,17,0,0,40,0,0,0,0,0,40,0,31895.225
Chernivetska,UA_77,2010,3,,,,,,,,,,,,,,,,,0,11,45,0,38,0,46,0,47,0,100,0,0,8,9,27,0,0,0,0,0,27,31,0,40,93,0,0,0,0,40,0,8094.667
Dnipropetrovska,UA_12,2010,3,,,,,,,,,,,,,,,,,0,96,65,65,50,6,58,85,26,14,30,31,0,20,17,43,30,86,35,21,28,38,100,34,42,36,44,0,62,100,70,0,31910.455
Donetska,UA_14,2010,3,,,,,,,,,,,,,,,,,0,49,75,0,65,0,80,0,20,12,90,0,0,22,21,26,28,0,32,18,24,31,59,30,30,17,82,0,57,0,100,0,26499.604
Ivano-Frankivska,UA_26,2010,3,,,,,,,,,,,,,,,,,0,88,29,0,100,0,86,0,26,0,0,0,0,20,38,35,0,0,0,0,0,0,0,32,0,0,43,0,0,0,65,0,13933.037
Kharkivska,UA_63,2010,3,,,,,,,,,,,,,,,,,0,37,42,42,53,11,95,0,40,100,56,0,0,12,43,20,35,39,20,68,37,42,28,47,30,19,53,0,55,0,44,0,31434.879
Khersonska,UA_65,2010,3,,,,,,,,,,,,,,,,,0,40,38,0,53,100,95,0,0,80,43,100,0,9,55,0,61,0,0,0,0,100,43,35,0,0,0,0,83,0,94,0,26656.969
Khmelnytska,UA_68,2010,3,,,,,,,,,,,,,,,,,0,19,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20627.613
